AL, 20, 2023101100, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 040, 
AL, 20, 2023101100, GN, OFCL, 120,     ,      ,   0,  120, DPB, genFcst, , ,  0, 040, 
AL, 20, 2023101100, GN, OFCL, 168,     ,      ,  10,  168, DPB, genFcst, , ,  0, 040, 
AL, 20, 2023101106, GN, OFCL,  48,     ,      ,  10,   48, ESB, genFcst, , ,  0, 040, 
AL, 20, 2023101106, GN, OFCL, 120,     ,      ,   0,  120, ESB, genFcst, , ,  0, 040, 
AL, 20, 2023101106, GN, OFCL, 168,     ,      ,  20,  168, ESB, genFcst, , ,  0, 040, 
AL, 20, 2023101112, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 040, 
AL, 20, 2023101112, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 040, 
AL, 20, 2023101112, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 040, 
AL, 20, 2023101112, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2023101112, al942023,  1, 040, 
AL, 20, 2023101112, IN, IVCN,  12,     ,      ,  68,  31,   ,    5, 
AL, 20, 2023101112, IN, IVCN,  24,     ,      ,  68,  33,   ,    7, 
AL, 20, 2023101112, IN, IVCN,  36,     ,      ,  68,  36,   ,    8, 
AL, 20, 2023101112, IN, IVCN,  48,     ,      ,  68,  39,   ,   11, 
AL, 20, 2023101112, IN, IVCN,  60,     ,      ,  68,  45,   ,   13, 
AL, 20, 2023101112, IN, IVCN,  72,     ,      ,  68,  50,   ,   16, 
AL, 20, 2023101112, IN, IVCN,  96,     ,      ,  68,  60,   ,   17, 
AL, 20, 2023101112, IN, IVCN, 120,     ,      ,  68,  71,   ,   18, 
AL, 20, 2023101112, RI, EIOB,  12,  89N,  192W,   1,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, EIOB,  24,  89N,  192W,  11,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOB,  24,  89N,  192W,   1,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOB,  24,  89N,  192W,   0,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOB,  24,  89N,  192W,   0,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOB,  36,  89N,  192W,   0,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, EIOB,  48,  89N,  192W,   1,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, EIOB,  72,  89N,  192W,   2,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, EIOC,  12,  89N,  192W,   2,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, EIOC,  24,  89N,  192W,  15,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOC,  24,  89N,  192W,   7,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOC,  24,  89N,  192W,   4,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOC,  24,  89N,  192W,   3,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOC,  36,  89N,  192W,   7,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, EIOC,  48,  89N,  192W,  11,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, EIOC,  72,  89N,  192W,  22,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, EIOD,  12,  89N,  192W,   3,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, EIOD,  24,  89N,  192W,  15,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOD,  24,  89N,  192W,  10,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOD,  24,  89N,  192W,   8,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOD,  24,  89N,  192W,   6,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOD,  36,  89N,  192W,  10,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, EIOD,  48,  89N,  192W,  12,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, EIOD,  72,  89N,  192W,  16,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, EIOL,  12,  89N,  192W,   4,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, EIOL,  24,  89N,  192W,  20,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOL,  24,  89N,  192W,  10,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOL,  24,  89N,  192W,   4,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOL,  24,  89N,  192W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, EIOL,  36,  89N,  192W,  11,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, EIOL,  48,  89N,  192W,  21,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, EIOL,  72,  89N,  192W,  49,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, RIOB,  12,  89N,  192W,   1,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, RIOB,  24,  89N,  192W,  11,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOB,  24,  89N,  192W,   3,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOB,  24,  89N,  192W,   0,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOB,  24,  89N,  192W,   0,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOB,  36,  89N,  192W,   1,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, RIOB,  48,  89N,  192W,   1,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, RIOB,  72,  89N,  192W,   5,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, RIOC,  12,  89N,  192W,   3,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, RIOC,  24,  89N,  192W,  15,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOC,  24,  89N,  192W,   7,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOC,  24,  89N,  192W,   5,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOC,  24,  89N,  192W,   3,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOC,  36,  89N,  192W,   8,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, RIOC,  48,  89N,  192W,  12,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, RIOC,  72,  89N,  192W,  22,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, RIOD,  12,  89N,  192W,   2,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, RIOD,  24,  89N,  192W,  15,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOD,  24,  89N,  192W,  10,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOD,  24,  89N,  192W,   8,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOD,  24,  89N,  192W,   6,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOD,  36,  89N,  192W,  10,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, RIOD,  48,  89N,  192W,  12,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, RIOD,  72,  89N,  192W,  17,  65,  95,    ,            0,           72, 
AL, 20, 2023101112, RI, RIOL,  12,  89N,  192W,   4,  20,  50,    ,            0,           12, 
AL, 20, 2023101112, RI, RIOL,  24,  89N,  192W,  18,  25,  55,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOL,  24,  89N,  192W,  10,  30,  60,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOL,  24,  89N,  192W,   5,  35,  65,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOL,  24,  89N,  192W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101112, RI, RIOL,  36,  89N,  192W,  13,  45,  75,    ,            0,           36, 
AL, 20, 2023101112, RI, RIOL,  48,  89N,  192W,  22,  55,  85,    ,            0,           48, 
AL, 20, 2023101112, RI, RIOL,  72,  89N,  192W,  43,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, IN, ICON,  12,     ,      ,  68,  30,   ,    5, 
AL, 20, 2023101118, IN, ICON,  24,     ,      ,  68,  32,   ,    7, 
AL, 20, 2023101118, IN, ICON,  36,     ,      ,  68,  33,   ,    7, 
AL, 20, 2023101118, IN, ICON,  48,     ,      ,  68,  33,   ,   10, 
AL, 20, 2023101118, IN, ICON,  60,     ,      ,  68,  35,   ,   12, 
AL, 20, 2023101118, IN, ICON,  72,     ,      ,  68,  38,   ,   16, 
AL, 20, 2023101118, IN, ICON,  96,     ,      ,  68,  45,   ,   20, 
AL, 20, 2023101118, IN, ICON, 120,     ,      ,  68,  52,   ,   25, 
AL, 20, 2023101118, IN, IVCN,  12,     ,      ,  68,  29,   ,    5, 
AL, 20, 2023101118, IN, IVCN,  24,     ,      ,  68,  31,   ,    6, 
AL, 20, 2023101118, IN, IVCN,  36,     ,      ,  68,  30,   ,    7, 
AL, 20, 2023101118, IN, IVCN,  48,     ,      ,  68,  29,   ,    9, 
